Gene Name	Accession	Link	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	IgG for AR/BRD4/CREB/EP300 (MR42D)	IgG for LSD1 (LASCPC)	IgG for MycN (LASCPC)	AR	BRD4	CREB	LSD1 (LASCPC)	Nmyc	EP300
RPS3A	P61247	RS3A_HUMAN		20.1	264	29946	40S ribosomal protein S3a OS=Homo sapiens GN=RPS3A PE=1 SV=2	27	27	1	0	0	3	5	7	1	1	0	10
YWHAE	P62258	1433E_HUMAN		16.9	255	29175	14-3-3 protein epsilon OS=Homo sapiens GN=YWHAE PE=1 SV=1	35	32	0.914	0	0	4	6	7	1	5	6	6
RPS4X	P62701	RS4X_HUMAN		18.6	263	29599	"40S ribosomal protein S4, X isoform OS=Homo sapiens GN=RPS4X PE=1 SV=2"	32	32	1	0	0	2	3	7	1	1	4	14
MED4	Q9NPJ6	MED4_HUMAN		20	270	29746	Mediator of RNA polymerase II transcription subunit 4 OS=Homo sapiens GN=MED4 PE=1 SV=1	8	8	1	0	0	0	0	7	1	0	0	0
XRCC6	P12956	XRCC6_HUMAN		21.3	609	69844	X-ray repair cross-complementing protein 6 OS=Homo sapiens GN=XRCC6 PE=1 SV=2	37	37	1	0	0	1	2	6	2	7	9	10
GSTM3	P21266	GSTM3_HUMAN		19.6	225	26561	Glutathione S-transferase Mu 3 OS=Homo sapiens GN=GSTM3 PE=1 SV=3	25	25	1	0	0	6	4	6	5	0	0	4
RPL23A	P62750	RL23A_HUMAN		24.4	156	17696	60S ribosomal protein L23a OS=Homo sapiens GN=RPL23A PE=1 SV=1	24	24	1	0	0	3	2	6	0	3	2	8
IMPDH2	P12268	IMDH2_HUMAN		15	514	55806	Inosine-5'-monophosphate dehydrogenase 2 OS=Homo sapiens GN=IMPDH2 PE=1 SV=2	6	6	1	0	0	0	0	6	0	0	0	0
RFC2	P35250	RFC2_HUMAN		21.8	354	39158	Replication factor C subunit 2 OS=Homo sapiens GN=RFC2 PE=1 SV=3	13	13	1	0	0	0	0	6	0	1	2	4
LIG3	P49916	DNLI3_HUMAN		3.9	1009	112908	DNA ligase 3 OS=Homo sapiens GN=LIG3 PE=1 SV=2	11	11	1	0	0	0	0	6	0	0	0	5
RPL11	P62913	RL11_HUMAN		25.8	178	20253	60S ribosomal protein L11 OS=Homo sapiens GN=RPL11 PE=1 SV=2	15	15	1	0	0	1	1	6	1	1	1	4
AKAP9	Q99996	AKAP9_HUMAN		2.6	3911	453668	A-kinase anchor protein 9 OS=Homo sapiens GN=AKAP9 PE=1 SV=3	12	12	1	0	0	6	0	6	0	0	0	0
EIF2AK2	P19525	E2AK2_HUMAN		4	551	62095	"Interferon-induced, double-stranded RNA-activated protein kinase OS=Homo sapiens GN=EIF2AK2 PE=1 SV=2"	19	19	1	0	0	3	3	5	1	0	1	6
RPL12	P30050	RL12_HUMAN		24.2	165	17820	60S ribosomal protein L12 OS=Homo sapiens GN=RPL12 PE=1 SV=1	17	17	1	0	0	1	4	5	0	0	2	5
FXR1	P51114	FXR1_HUMAN		28.5	621	69722	Fragile X mental retardation syndrome-related protein 1 OS=Homo sapiens GN=FXR1 PE=1 SV=3	38	38	1	0	0	4	5	5	4	4	4	12
HNRNPH2	P55795	HNRH2_HUMAN		18.7	449	49265	Heterogeneous nuclear ribonucleoprotein H2 OS=Homo sapiens GN=HNRNPH2 PE=1 SV=1	28	20	0.714	0	0	2	3	5	1	3	7	7
PPIA	P62937	PPIA_HUMAN		30.3	165	18013	Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens GN=PPIA PE=1 SV=2	27	27	1	0	0	5	4	5	3	3	3	4
MED19	A0JLT2	MED19_HUMAN		30.7	244	26274	Mediator of RNA polymerase II transcription subunit 19 OS=Homo sapiens GN=MED19 PE=1 SV=2	7	7	1	0	0	0	0	5	2	0	0	0
UBR5	O95071	UBR5_HUMAN		2.8	2799	309353	E3 ubiquitin-protein ligase UBR5 OS=Homo sapiens GN=UBR5 PE=1 SV=2	6	6	1	0	0	0	0	5	0	0	0	1
RPL17	P18621	RL17_HUMAN		20.1	184	21398	60S ribosomal protein L17 OS=Homo sapiens GN=RPL17 PE=1 SV=3	11	11	1	0	0	1	0	5	0	0	1	4
RFC4	P35249	RFC4_HUMAN		16	363	39683	Replication factor C subunit 4 OS=Homo sapiens GN=RFC4 PE=1 SV=2	6	6	1	0	0	0	0	5	0	0	0	1
RFC1	P35251	RFC1_HUMAN		6.2	1148	128256	Replication factor C subunit 1 OS=Homo sapiens GN=RFC1 PE=1 SV=4	11	11	1	0	0	0	0	5	0	0	0	6
SRP14	P37108	SRP14_HUMAN		39.7	136	14571	Signal recognition particle 14 kDa protein OS=Homo sapiens GN=SRP14 PE=1 SV=2	13	13	1	0	0	1	1	5	0	0	0	6
MED1	Q15648	MED1_HUMAN		4.8	1581	168479	Mediator of RNA polymerase II transcription subunit 1 OS=Homo sapiens GN=MED1 PE=1 SV=4	5	5	1	0	0	0	0	5	0	0	0	0
USP54	Q70EL1	UBP54_HUMAN		5.7	1684	187389	Inactive ubiquitin carboxyl-terminal hydrolase 54 OS=Homo sapiens GN=USP54 PE=1 SV=4	5	5	1	0	0	0	0	5	0	0	0	0
FANCM	Q8IYD8	FANCM_HUMAN		2.6	2048	232192	Fanconi anemia group M protein OS=Homo sapiens GN=FANCM PE=1 SV=2	5	5	1	0	0	0	0	5	0	0	0	0
SYNCRIP	O60506	HNRPQ_HUMAN		24.2	623	69604	Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens GN=SYNCRIP PE=1 SV=2	48	48	1	0	0	5	5	4	3	12	4	15
DDX6	P26196	DDX6_HUMAN		18	483	54418	Probable ATP-dependent RNA helicase DDX6 OS=Homo sapiens GN=DDX6 PE=1 SV=2	23	23	1	0	0	3	2	4	4	3	1	6
PPP2R1A	P30153	2AAA_HUMAN		11.4	589	65310	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Homo sapiens GN=PPP2R1A PE=1 SV=4	22	22	1	0	0	1	3	4	1	3	7	3
HSPA1L	P34931	HS71L_HUMAN		14.7	641	70376	Heat shock 70 kDa protein 1-like OS=Homo sapiens GN=HSPA1L PE=1 SV=2	21	6	0.286	0	0	1	9	4	3	1	1	2
RPL21	P46778	RL21_HUMAN		22.5	160	18566	60S ribosomal protein L21 OS=Homo sapiens GN=RPL21 PE=1 SV=2	12	12	1	0	0	1	2	4	0	0	1	4
RBM39	Q14498	RBM39_HUMAN		15.1	530	59381	RNA-binding protein 39 OS=Homo sapiens GN=RBM39 PE=1 SV=2	21	21	1	0	0	2	3	4	1	2	4	5
UPF1	Q92900	RENT1_HUMAN		12.3	1129	124346	Regulator of nonsense transcripts 1 OS=Homo sapiens GN=UPF1 PE=1 SV=2	16	16	1	0	0	0	2	4	1	1	0	8
DBT	P11182	ODB2_HUMAN		14.9	482	53488	"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial OS=Homo sapiens GN=DBT PE=1 SV=3"	15	15	1	0	0	0	0	4	0	0	5	6
RPL7	P18124	RL7_HUMAN		12.9	248	29227	60S ribosomal protein L7 OS=Homo sapiens GN=RPL7 PE=1 SV=1	14	14	1	0	0	3	1	4	0	1	1	4
EEF1B2	P24534	EF1B_HUMAN		20.4	225	24765	Elongation factor 1-beta OS=Homo sapiens GN=EEF1B2 PE=1 SV=3	4	4	1	0	0	0	0	4	0	0	0	0
RFC5	P40937	RFC5_HUMAN		16.5	340	38498	Replication factor C subunit 5 OS=Homo sapiens GN=RFC5 PE=1 SV=1	5	5	1	0	0	0	0	4	0	0	0	1
EIF2S3	P41091	IF2G_HUMAN		16.1	472	51110	Eukaryotic translation initiation factor 2 subunit 3 OS=Homo sapiens GN=EIF2S3 PE=1 SV=3	13	13	1	0	0	1	1	4	0	0	1	6
RPS9	P46781	RS9_HUMAN		26.3	194	22592	40S ribosomal protein S9 OS=Homo sapiens GN=RPS9 PE=1 SV=3	13	13	1	0	0	1	1	4	0	1	2	4
CAPZB	P47756	CAPZB_HUMAN		14.8	277	31351	F-actin-capping protein subunit beta OS=Homo sapiens GN=CAPZB PE=1 SV=4	4	4	1	0	0	0	0	4	0	0	0	0
RPS8	P62241	RS8_HUMAN		28.4	208	24206	40S ribosomal protein S8 OS=Homo sapiens GN=RPS8 PE=1 SV=2	23	23	1	0	0	3	1	4	0	3	4	8
RPL23	P62829	RL23_HUMAN		16.4	140	14866	60S ribosomal protein L23 OS=Homo sapiens GN=RPL23 PE=1 SV=1	12	12	1	0	0	1	1	4	0	2	2	2
NSUN2	Q08J23	NSUN2_HUMAN		11.7	767	86472	tRNA (cytosine(34)-C(5))-methyltransferase OS=Homo sapiens GN=NSUN2 PE=1 SV=2	14	14	1	0	0	1	1	4	0	2	1	5
GRSF1	Q12849	GRSF1_HUMAN		24.6	480	53127	G-rich sequence factor 1 OS=Homo sapiens GN=GRSF1 PE=1 SV=3	14	14	1	0	0	1	0	4	0	0	0	9
MED27	Q6P2C8	MED27_HUMAN		18	311	35433	Mediator of RNA polymerase II transcription subunit 27 OS=Homo sapiens GN=MED27 PE=1 SV=1	4	4	1	0	0	0	0	4	0	0	0	0
SCYL3	Q8IZE3	PACE1_HUMAN		6.5	742	82858	Protein-associating with the carboxyl-terminal domain of ezrin OS=Homo sapiens GN=SCYL3 PE=1 SV=3	4	4	1	0	0	0	0	4	0	0	0	0
MED17	Q9NVC6	MED17_HUMAN		12.1	651	72891	Mediator of RNA polymerase II transcription subunit 17 OS=Homo sapiens GN=MED17 PE=1 SV=2	4	4	1	0	0	0	0	4	0	0	0	0
MED23	Q9ULK4	MED23_HUMAN		4	1368	156475	Mediator of RNA polymerase II transcription subunit 23 OS=Homo sapiens GN=MED23 PE=1 SV=2	5	5	1	0	0	0	0	4	1	0	0	0
PRPF19	Q9UMS4	PRP19_HUMAN		29.4	504	55182	Pre-mRNA-processing factor 19 OS=Homo sapiens GN=PRPF19 PE=1 SV=1	10	10	1	0	0	0	0	4	0	1	0	5
ZBTB1	Q9Y2K1	ZBTB1_HUMAN		5.5	713	82017	Zinc finger and BTB domain-containing protein 1 OS=Homo sapiens GN=ZBTB1 PE=1 SV=3	4	4	1	0	0	0	0	4	0	0	0	0
AP2A2	O94973	AP2A2_HUMAN		14	939	103961	AP-2 complex subunit alpha-2 OS=Homo sapiens GN=AP2A2 PE=1 SV=2	19	17	0.895	0	0	2	2	3	3	0	0	9
HSPA1A	P0DMV8	HS71A_HUMAN		12	641	70053	Heat shock 70 kDa protein 1A OS=Homo sapiens GN=HSPA1A PE=1 SV=1	15	3	0.2	0	0	1	8	3	0	1	1	1
MCM3	P25205	MCM3_HUMAN		11.5	808	90982	DNA replication licensing factor MCM3 OS=Homo sapiens GN=MCM3 PE=1 SV=3	12	12	1	0	0	0	2	3	0	1	4	2
YWHAQ	P27348	1433T_HUMAN		11.8	245	27765	14-3-3 protein theta OS=Homo sapiens GN=YWHAQ PE=1 SV=1	9	6	0.667	0	0	0	2	3	0	0	2	2
RPL10	P27635	RL10_HUMAN		11.2	214	24605	60S ribosomal protein L10 OS=Homo sapiens GN=RPL10 PE=1 SV=4	15	15	1	0	0	2	2	3	0	1	4	3
RPL27	P61353	RL27_HUMAN		27.9	136	15799	60S ribosomal protein L27 OS=Homo sapiens GN=RPL27 PE=1 SV=2	13	13	1	0	0	1	4	3	0	0	0	5
RPS15A	P62244	RS15A_HUMAN		46.2	130	14841	40S ribosomal protein S15a OS=Homo sapiens GN=RPS15A PE=1 SV=2	17	17	1	0	0	3	2	3	0	2	3	4
RPS16	P62249	RS16_HUMAN		19.9	146	16446	40S ribosomal protein S16 OS=Homo sapiens GN=RPS16 PE=1 SV=2	18	18	1	0	0	4	3	3	1	2	2	3
RPS25	P62851	RS25_HUMAN		22.4	125	13743	40S ribosomal protein S25 OS=Homo sapiens GN=RPS25 PE=1 SV=1	13	13	1	0	0	2	2	3	0	1	1	4
RBM3	P98179	RBM3_HUMAN		31.8	157	17171	RNA-binding protein 3 OS=Homo sapiens GN=RBM3 PE=1 SV=1	14	14	1	0	0	2	2	3	2	0	2	3
KHDRBS1	Q07666	KHDR1_HUMAN		7.7	443	48228	"KH domain-containing, RNA-binding, signal transduction-associated protein 1 OS=Homo sapiens GN=KHDRBS1 PE=1 SV=1"	19	19	1	0	1	2	2	3	2	2	4	3
IGHG3	P01860	IGHG3_HUMAN	redundant	4	377	41288	Ig gamma-3 chain C region OS=Homo sapiens GN=IGHG3 PE=1 SV=2	13	13	1	0	0	0	0	3	2	0	0	8
EIF5B	O60841	IF2P_HUMAN		7.3	1220	138828	Eukaryotic translation initiation factor 5B OS=Homo sapiens GN=EIF5B PE=1 SV=4	10	10	1	0	0	1	1	3	0	0	1	4
MED24	O75448	MED24_HUMAN		4.6	989	110306	Mediator of RNA polymerase II transcription subunit 24 OS=Homo sapiens GN=MED24 PE=1 SV=1	7	7	1	0	0	0	0	3	4	0	0	0
IGHG1	P01857	IGHG1_HUMAN		4.5	330	36107	Ig gamma-1 chain C region OS=Homo sapiens GN=IGHG1 PE=1 SV=1	13	13	1	0	0	0	0	3	2	0	0	8
DDX5	P17844	DDX5_HUMAN		18.2	614	69149	Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens GN=DDX5 PE=1 SV=1	25	20	0.8	0	0	2	1	3	1	4	7	7
PCMT1	P22061	PIMT_HUMAN		34.4	227	24637	Protein-L-isoaspartate(D-aspartate) O-methyltransferase OS=Homo sapiens GN=PCMT1 PE=1 SV=4	10	10	1	0	0	3	0	3	0	0	1	3
POLR2A	P24928	RPB1_HUMAN		1.3	1970	217177	DNA-directed RNA polymerase II subunit RPB1 OS=Homo sapiens GN=POLR2A PE=1 SV=2	6	6	1	0	0	0	0	3	0	0	3	0
RPL13	P26373	RL13_HUMAN		14.7	211	24262	60S ribosomal protein L13 OS=Homo sapiens GN=RPL13 PE=1 SV=4	13	13	1	0	0	2	1	3	0	2	2	3
VARS	P26640	SYVC_HUMAN		2.8	1264	140477	Valine--tRNA ligase OS=Homo sapiens GN=VARS PE=1 SV=4	9	9	1	0	0	1	1	3	0	1	2	1
DLST	P36957	ODO2_HUMAN		4.9	453	48756	"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Homo sapiens GN=DLST PE=1 SV=4"	5	5	1	0	0	0	0	3	0	0	0	2
HADHA	P40939	ECHA_HUMAN		6.4	763	83001	"Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens GN=HADHA PE=1 SV=2"	9	9	1	0	0	1	1	3	2	0	0	2
HSPA1B	P0DMV9	HS71B_HUMAN	redundant	12	641	70053	Heat shock 70 kDa protein 1B OS=Homo sapiens GN=HSPA1B PE=1 SV=1	15	3	0.2	0	0	1	8	3	0	1	1	1
RPL27A	P46776	RL27A_HUMAN		14.2	148	16562	60S ribosomal protein L27a OS=Homo sapiens GN=RPL27A PE=1 SV=2	10	10	1	0	0	2	1	3	0	1	2	1
GMPS	P49915	GUAA_HUMAN		18.2	693	76716	GMP synthase [glutamine-hydrolyzing] OS=Homo sapiens GN=GMPS PE=1 SV=1	22	22	1	0	0	4	1	3	5	2	4	3
KPNA2	P52292	IMA1_HUMAN		7.9	529	57863	Importin subunit alpha-1 OS=Homo sapiens GN=KPNA2 PE=1 SV=1	10	10	1	0	0	0	1	3	0	0	3	3
VCP	P55072	TERA_HUMAN		23.8	806	89323	Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4	31	31	1	0	0	1	0	3	0	1	2	24
RPL18A	Q02543	RL18A_HUMAN		9.1	176	20763	60S ribosomal protein L18a OS=Homo sapiens GN=RPL18A PE=1 SV=2	9	9	1	0	0	1	0	3	0	0	2	3
RPL18	Q07020	RL18_HUMAN		19.7	188	21635	60S ribosomal protein L18 OS=Homo sapiens GN=RPL18 PE=1 SV=2	11	11	1	0	0	2	1	3	0	1	1	3
CIRBP	Q14011	CIRBP_HUMAN		26.7	172	18649	Cold-inducible RNA-binding protein OS=Homo sapiens GN=CIRBP PE=1 SV=1	14	14	1	0	0	1	0	3	0	1	4	5
CAPRIN1	Q14444	CAPR1_HUMAN		15.7	709	78367	Caprin-1 OS=Homo sapiens GN=CAPRIN1 PE=1 SV=2	16	16	1	0	0	2	1	3	1	0	1	8
BRD3	Q15059	BRD3_HUMAN		6.3	726	79543	Bromodomain-containing protein 3 OS=Homo sapiens GN=BRD3 PE=1 SV=1	6	3	0.5	0	1	0	0	3	0	1	1	0
SND1	Q7KZF4	SND1_HUMAN		13.1	910	101998	Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens GN=SND1 PE=1 SV=1	14	14	1	0	0	2	1	3	0	3	1	4
ALYREF	Q86V81	THOC4_HUMAN		19.1	257	26889	THO complex subunit 4 OS=Homo sapiens GN=ALYREF PE=1 SV=3	6	6	1	0	0	0	0	3	0	0	0	3
SPICE1	Q8N0Z3	SPICE_HUMAN		3.2	855	96265	Spindle and centriole-associated protein 1 OS=Homo sapiens GN=SPICE1 PE=1 SV=1	3	3	1	0	0	0	0	3	0	0	0	0
WASHC3	Q9Y3C0	CCD53_HUMAN		16.5	194	21174	WASH complex subunit CCDC53 OS=Homo sapiens GN=CCDC53 PE=1 SV=1	3	3	1	0	0	0	0	3	0	0	0	0
RPL36	Q9Y3U8	RL36_HUMAN		21	105	12255	60S ribosomal protein L36 OS=Homo sapiens GN=RPL36 PE=1 SV=3	7	7	1	0	0	0	0	3	0	0	0	4
XPO1	O14980	XPO1_HUMAN		7.1	1071	123387	Exportin-1 OS=Homo sapiens GN=XPO1 PE=1 SV=1	14	14	1	0	0	0	2	2	3	2	5	0
NUDT21	O43809	CPSF5_HUMAN		47.6	227	26228	Cleavage and polyadenylation specificity factor subunit 5 OS=Homo sapiens GN=NUDT21 PE=1 SV=1	28	28	1	0	0	0	19	2	0	1	4	2
CSDE1	O75534	CSDE1_HUMAN		12.3	798	88886	Cold shock domain-containing protein E1 OS=Homo sapiens GN=CSDE1 PE=1 SV=2	14	14	1	0	0	1	2	2	1	1	2	5
WASH3P	C4AMC7	WASH3_HUMAN	redundant	7.6	463	49996	Putative WAS protein family homolog 3 OS=Homo sapiens GN=WASH3P PE=1 SV=2	2	2	1	0	0	0	0	2	0	0	0	0
WASH2P	Q6VEQ5	WASH2_HUMAN	redundant	7.5	465	50313	WAS protein family homolog 2 OS=Homo sapiens GN=WASH2P PE=2 SV=2	2	2	1	0	0	0	0	2	0	0	0	0
MCM5	P33992	MCM5_HUMAN		10.6	734	82287	DNA replication licensing factor MCM5 OS=Homo sapiens GN=MCM5 PE=1 SV=5	15	15	1	0	0	0	5	2	1	1	2	4
MCM7	P33993	MCM7_HUMAN		15.6	719	81309	DNA replication licensing factor MCM7 OS=Homo sapiens GN=MCM7 PE=1 SV=4	18	18	1	0	0	0	2	2	1	4	6	3
FUS	P35637	FUS_HUMAN		13.1	526	53427	RNA-binding protein FUS OS=Homo sapiens GN=FUS PE=1 SV=1	17	17	1	0	0	2	2	2	2	0	3	6
